country,medianIncome,meanIncome,gdpPerCapitaPPP,pop2022
Luxembourg,26321,31376,124590,647.599
United Arab Emirates,24292,27017,70089,9441.129
Norway,22684,25272,70005,5434.319
Switzerland,21490,25787,72376,8740.472
United States,19306,25332,65297,338289.857
Canada,18652,22042,51668,38454.327
Austria,18405,20718,60418,8939.617
Sweden,17625,20193,56632,10549.347
Denmark,17432,20304,62089,5882.261
Netherlands,17154,19690,61285,17564.014
Australia,17076,21329,53381,26177.413
Germany,16845,19730,57530,83369.843
France,16372,19409,50992,64626.628
Finland,16332,18742,53171,5540.745
Belgium,16157,17917,56348,11655.93
United Kingdom,14793,18133,49931,67508.936
Malta,14543,16509,47578,533.286
Ireland,14520,17938,89683,5023.109
Japan,14255,17095,43593,123951.692
Taiwan,13605,16355,0,23893.394
Italy,13170,15547,45722,59037.474
Cyprus,13053,15663,41254,1251.488
South Korea,12507,14316,44011,51815.81
Slovenia,11878,13056,42431,2119.844
Spain,11786,13822,43495,47558.63
Israel,10866,13271,42897,9038.309
Estonia,10651,12540,39986,1326.062
Poland,8885,10155,35165,39857.145
Portugal,8439,10316,37918,10270.865
Lithuania,8267,10479,40016,2750.055
Slovakia,7991,8408,33515,5643.453
Latvia,7971,9727,33020,1850.651
Lebanon,7712,9091,15195,5489.739
Hungary,7684,8613,34966,9967.308
Uruguay,7533,9888,22515,3422.794
Malaysia,7512,10200,29619,33938.221
Croatia,7196,8008,31130,4030.358
Greece,6936,8131,32506,10384.971
Belarus,6507,7359,19997,9534.954
Chile,6293,9304,27002,19603.733
Panama,6254,9453,32850,4408.581
Bosnia and Herzegovina,5925,7131,16288,3233.526
Bulgaria,5696,7474,25312,6781.953
Russia,5504,7275,29181,144713.314
Costa Rica,5457,8440,21737,5180.829
Maldives,5409,6435,20395,523.787
Argentina,5319,6935,0,45510.318
Seychelles,5314,8044,30516,107.118
Turkey,5251,7267,28133,85341.241
Romania,5206,5949,33339,19659.267
Brazil,4559,7654,15299,215313.498
Ukraine,4434,5010,13341,39701.739
Serbia,4416,5252,19495,7221.365
Iran,4360,5924,12937,88550.57
Thailand,4356,5670,19276,71697.03
Paraguay,4334,6373,13246,6780.744
Montenegro,4193,5123,24035,627.082
Dominican Republic,4060,5873,19227,11228.821
North Macedonia,3857,4279,18107,2093.599
Mauritius,3832,4969,23882,1299.469
Peru,3678,4977,13416,34049.588
Kazakhstan,3661,4313,27517,19397.998
Bolivia,3631,4787,9110,12224.11
Ecuador,3525,5046,11878,18001
Tunisia,3366,4076,11231,12356.117
Mexico,3315,4929,20944,127504.125
Colombia,3259,5201,16012,51874.024
Azerbaijan,3193,3851,15041,10358.074
Jordan,3185,4025,10517,11285.869
Vietnam,3149,3881,8397,98186.856
Moldova,3133,3590,13626,3272.996
El Salvador,3095,3989,9164,6336.392
Jamaica,2899,4429,10193,2827.377
Trinidad and Tobago,2868,3711,27334,1531.044
Mongolia,2800,3409,12861,3398.366
Gabon,2779,3544,15611,2388.992
Morocco,2716,3721,7826,37457.971
Venezuela,2710,3741,17527,28301.696
Nicaragua,2697,3913,5646,6948.392
Algeria,2612,2996,12019,44903.225
Albania,2578,3141,14648,2842.321
Fiji,2460,3261,14289,929.766
Bhutan,2446,3189,12355,782.455
Sri Lanka,2277,3162,13656,21832.143
Georgia,2273,2814,15655,3744.385
Armenia,2216,2810,14257,2780.469
Guatemala,2036,3103,9019,17843.908
Guyana,2003,2729,13661,808.726
Syria,1996,2606,0,22125.249
Tajikistan,1994,2437,3529,9952.787
Namibia,1962,4023,10063,2567.012
Honduras,1959,3109,5981,10432.86
Iraq,1951,2293,11362,44496.122
Belize,1927,3246,7314,405.272
Myanmar,1909,2296,5369,54179.306
Kyrgyzstan,1892,2235,5485,6630.623
Ghana,1779,2422,5652,33475.87
Mauritania,1760,2094,5427,4736.139
Suriname,1659,2593,17256,618.04
South Africa,1624,4081,13034,59893.885
Philippines,1581,2199,9302,115559.009
Egypt,1485,1847,0,110990.103
Micronesia,1413,1858,3547,114.164
Djibouti,1403,1869,5779,1120.849
Pakistan,1399,1797,4898,235824.862
Gambia,1383,1784,2321,2705.992
Vanuatu,1379,1781,3292,326.74
Sudan,1277,1592,4122,46874.204
Cameroon,1245,1841,3803,27914.536
Haiti,1162,1540,3034,11584.996
Lesotho,1157,1659,2824,2305.825
Nepal,1155,1428,3567,30547.58
Yemen,1150,1503,3688,33696.614
Bangladesh,1131,1414,4964,171186.372
Laos,1065,1389,8172,7529.475
Ivory Coast,987,1358,5443,28160.542
Zimbabwe,932,1429,2961,16320.537
Ethiopia,907,1107,2319,123379.924
Papua New Guinea,876,1162,4547,10142.619
Kenya,874,1197,4521,54027.487
Senegal,844,1137,3545,17316.449
Nigeria,825,1021,5362,218541.212
Uganda,804,1166,2284,47249.585
Sierra Leone,765,1004,1794,8605.718
Liberia,753,945,1491,5302.681
Burkina Faso,748,1002,2274,22673.762
Mali,689,861,2424,22593.59
Togo,683,964,1667,8848.699
Angola,665,1066,6965,35588.987
Rwanda,621,925,2325,13776.698
Uzbekistan,591,752,7308,34627.652
Zambia,545,1045,3624,20017.675
Mozambique,529,947,1338,32969.518
Malawi,484,733,1106,20405.317
Burundi,475,640,784,12889.576
Madagascar,398,567,1719,29611.714
China,0,4246,16829,1425887.337
India,0,1314,6996,1417173.173
