country,broadband,mobile
Monaco,261.82,
Singapore,255.83,105.01
Hong Kong,254.7,83.58
Romania,232.17,59.67
Switzerland,229.96,135.7
Denmark,227.91,112.03
Thailand,225.17,56.9
Chile,217.6,21.23
France,214.04,86.51
South Korea,212.57,202.61
Hungary,210.55,60.16
Liechtenstein,204.78,
United States,203.81,110.07
Spain,201.47,61.62
China,196.57,165.38
United Arab Emirates,189.07,238.06
Canada,183.81,95.78
Macau,178.9,62.31
Japan,178.76,69.02
Sweden,174.9,103.08
Luxembourg,172.05,116.76
Andorra,171.44,
New Zealand,170.51,75.91
Norway,168.25,177.72
Netherlands,165,106.98
Israel,162.66,48.3
Portugal,162.55,59.91
Poland,156.33,57.23
Moldova,154.56,42.99
Taiwan,152.01,95.51
Kuwait,149.37,157.18
Lithuania,147.05,66.25
Malta,144.06,70.73
Panama,137.38,20.44
Germany,136.66,83.06
Latvia,135.22,50.07
Finland,135.05,88.23
Belgium,125.12,69.76
Ireland,122.55,62.66
San Marino,121.4,
Slovenia,115.61,74.84
Slovakia,115.11,56.01
Qatar,113.88,172.18
Brazil,113.09,33.92
Barbados,109.41,
Malaysia,107.55,31.34
Italy,104.09,55.41
United Kingdom,102.24,86.56
Russia,95.96,28.99
Saudi Arabia,94.64,155.97
Austria,94.31,71.81
Estonia,88.49,75.29
Serbia,86.77,53.82
Bulgaria,86.75,142.27
Trinidad and Tobago,85.8,41.12
Jordan,84.12,27.61
Australia,82.73,135.3
Vietnam,78.34,43.32
Ukraine,76.82,31.95
Bahrain,73.95,86.04
Paraguay,72.5,20.65
Colombia,72.19,18.33
Philippines,71.85,35.03
Uruguay,69.91,38.08
Belarus,69.41,19.41
Croatia,69.09,114.76
Oman,68.28,91.21
Guyana,65.93,
India,64.03,17.89
Kazakhstan,63.28,31.74
Bahamas,61.75,
Montenegro,60.03,44.48
Argentina,58.87,29.77
Peru,58.73,24.82
Grenada,57.07,
Costa Rica,56.39,34.01
Cyprus,55.11,144.64
Mexico,54.88,34.33
South Africa,54.75,52.19
Saint Vincent and the Grenadines,53.77,
Mongolia,53.53,21.34
Saint Lucia,52.3,
Ghana,52.1,12.9
Kyrgyzstan,51.07,24.71
Bosnia and Herzegovina,48.51,36.61
Laos,48.16,30.93
Uzbekistan,45.88,19.29
Albania,45.55,61.56
Turkey,43.48,48.85
North Macedonia,43.24,64.02
Madagascar,42.84,
Ivory Coast,40.64,18.36
Belize,40.62,
Bangladesh,40.31,13.43
Egypt,39.97,24.95
Mauritius,39.85,30.28
Greece,39.08,92.54
Ecuador,39.07,24.62
Armenia,38.95,34.53
Jamaica,37.84,44.23
Tajikistan,35.45,16.15
Saint Kitts and Nevis,35.45,
Senegal,35.01,23.59
Dominica,34.9,
Brunei,34.59,67.32
Nepal,33.87,22.39
Dominican Republic,32.26,31.45
Iraq,31.66,42.33
Marshall Islands,31.64,
Nicaragua,29.94,26.59
Palestine,29.46,7.57
Georgia,28.61,39.84
Cambodia,28.32,23.75
Indonesia,27.83,23.12
Bolivia,27.8,22.57
Maldives,27.42,66.9
Morocco,27.21,39.52
El Salvador,27.04,26.85
Cape Verde,26.94,
Honduras,26.93,30.84
Rwanda,26.26,
Sri Lanka,26.08,16.58
Liberia,25.68,
Burkina Faso,25.54,
Azerbaijan,25.1,40.69
Seychelles,24.9,
Bhutan,24.76,
Lesotho,24.64,
Venezuela,23.92,7.68
Guatemala,23.72,29.69
Western Sahara,23.02,
Micronesia,22.54,
Gabon,22.5,
Iran,21.36,35.48
Antigua and Barbuda,21.24,
Mali,20.82,29.79
Togo,20.76,36.08
Fiji,20.76,28.51
Myanmar,20.69,28.19
Haiti,20.67,19.71
Tanzania,19.77,13.23
Namibia,19.58,23.18
Kenya,19.35,22.14
Somalia,18.98,14.74
Djibouti,18.27,
Lebanon,18.22,32.64
Zimbabwe,17.81,
Nigeria,17.65,24.74
Zambia,17.24,18.98
Benin,16.23,
Vanuatu,16.18,
Libya,16.12,16.03
Suriname,15.93,42.97
Angola,14.86,25.87
Ethiopia,14.17,26.17
Cameroon,13.94,31.18
Pakistan,13.84,19.82
Papua New Guinea,13.68,
Sierra Leone,13.56,
Uganda,13.55,19.02
Syria,12.72,19.21
Malawi,12.7,
Gambia,12.24,
Niger,11.68,
Mauritania,11.55,19.96
Botswana,11.21,
Burundi,11.18,
Tunisia,11.13,35.57
Algeria,10.43,18.1
Mozambique,9.27,25.02
Guinea,8.84,
Afghanistan,8.26,7.27
Equatorial Guinea,7.95,
Sudan,7.92,14.51
Yemen,7.59,
Turkmenistan,4.11,
Cuba,4.01,25.02
